ID,first_name,last_name,email,Address,phone,subscription_status,Fine ($)
1001,Mohanlal,Garde,jsahni@example.net,531 Sanghvi Path Bidhannagar 053333 - Jaipur Rajasthan,8546456345,Expired,45
1002,shlok,Krishna,surhazel@example.org,H.No. 03  Ray Street 302013 -  Jaipur Rajasthan,7963534554,9/26/2023,54
1003,Kiaan,Sankar,faiyazmand@example.org,H.No. 730 Dugal Path  Guntur-357149 -  Jaipur Rajasthan,8667999258,Expired,53
1004,Mamooty,Chokshi,borahmahika@example.net,16 Keer Path Gorakhpur 711455 -  Jaipur Rajasthan,9175070425,4/10/2023,56
1005,Nehmat,Som,advika64@example.com,58/33 Kaul Nagar Serampore-950840 -  Jaipur Rajasthan,9034534534,9/26/2023,44
1006,Arhaan,Bedi,pranay33@example.org, Rastogi Circle Panchkula 759147 -  Jaipur Rajasthan,5584116258,Expired,92
1007,Trisha,Khurana,thakurnirvaan@example.net,47 Sem Ganj Bijapur-553646 -  Jaipur Rajasthan,8345345334,9/27/2023,68
1008,Shayak,Kaur,tanya04@example.net,54  Koshy Street Varanasi-52754144 -  Jaipur Rajasthan,9144509797,11/2/2023,74
1009,Saanvi,Cherian,bde@example.org,405  Gulati Street Kalyan-Dombivli 393764 -  Jaipur Rajasthan,7105847318,Expired,35
1010,Indrajit,Sen,wkohli@example.net,94/392 Varty Circle  Coimbatore-483387 -  Jaipur Rajasthan,9119380983,12/26/2023,23
